Date,FEDFUNDS,UNRATE
2/1/2018,1.42,4.1
3/1/2018,1.51,4
4/1/2018,1.69,4
5/1/2018,1.7,3.8
6/1/2018,1.82,4
7/1/2018,1.91,3.8
8/1/2018,1.91,3.8
9/1/2018,1.95,3.7
10/1/2018,2.19,3.8
11/1/2018,2.2,3.8
12/1/2018,2.27,3.9
1/1/2019,2.4,4
2/1/2019,2.4,3.8
3/1/2019,2.41,3.8
4/1/2019,2.42,3.6
5/1/2019,2.39,3.6
6/1/2019,2.38,3.6
7/1/2019,2.4,3.7
8/1/2019,2.13,3.7
9/1/2019,2.04,3.5
10/1/2019,1.83,3.6
11/1/2019,1.55,3.6
12/1/2019,1.55,3.6
1/1/2020,1.55,3.5
