Date,CPI
1/1/2000,2.73889227
2/1/2000,3.221884498
3/1/2000,3.757575758
4/1/2000,3.068592058
5/1/2000,3.188929001
6/1/2000,3.730445247
7/1/2000,3.659268146
8/1/2000,3.411131059
9/1/2000,3.454437165
10/1/2000,3.448275862
11/1/2000,3.446226976
12/1/2000,3.386809269
1/1/2001,3.732227488
2/1/2001,3.533568905
3/1/2001,2.920560748
4/1/2001,3.269118506
5/1/2001,3.61516035
6/1/2001,3.248259861
7/1/2001,2.719907407
8/1/2001,2.719907407
9/1/2001,2.648244099
10/1/2001,2.126436782
11/1/2001,1.895462378
12/1/2001,1.551724138
1/1/2002,1.142204455
2/1/2002,1.137656428
3/1/2002,1.475595914
4/1/2002,1.639344262
5/1/2002,1.181767023
6/1/2002,1.06741573
7/1/2002,1.464788732
8/1/2002,1.802816901
9/1/2002,1.514301739
10/1/2002,2.025886325
11/1/2002,2.198421646
12/1/2002,2.376910017
1/1/2003,2.597402597
2/1/2003,2.98087739
3/1/2003,3.020134228
4/1/2003,2.224694105
5/1/2003,2.057842047
6/1/2003,2.112284603
7/1/2003,2.109938923
8/1/2003,2.158273381
9/1/2003,2.320441989
10/1/2003,2.040816327
11/1/2003,1.765030336
12/1/2003,1.879491432
1/1/2004,1.926252064
2/1/2004,1.6930639
3/1/2004,1.737242128
4/1/2004,2.285092492
5/1/2004,3.051771117
6/1/2004,3.266194883
7/1/2004,2.990755846
8/1/2004,2.654387866
9/1/2004,2.537796976
10/1/2004,3.189189189
11/1/2004,3.52303523
12/1/2004,3.255561584
1/1/2005,2.969762419
2/1/2005,3.007518797
3/1/2005,3.148345784
4/1/2005,3.510638298
5/1/2005,2.802749868
6/1/2005,2.530311017
7/1/2005,3.167898627
8/1/2005,3.64116095
9/1/2005,4.686677199
10/1/2005,4.347826087
11/1/2005,3.455497382
12/1/2005,3.415659485
1/1/2006,3.985317252
2/1/2006,3.597497393
3/1/2006,3.362648733
4/1/2006,3.545734841
5/1/2006,4.166666667
6/1/2006,4.318766067
7/1/2006,4.145342886
8/1/2006,3.818737271
9/1/2006,2.062374245
10/1/2006,1.305220884
11/1/2006,1.973684211
12/1/2006,2.540650407
1/1/2007,2.075642965
2/1/2007,2.415198792
3/1/2007,2.778778779
4/1/2007,2.57369727
5/1/2007,2.690864198
6/1/2007,2.68703795
7/1/2007,2.358230958
8/1/2007,1.970083374
9/1/2007,2.75505175
10/1/2007,3.53617443
11/1/2007,4.306203474
12/1/2007,4.081268583
1/1/2008,4.280294048
2/1/2008,4.026555413
3/1/2008,3.981456231
4/1/2008,3.936889775
5/1/2008,4.175543042
6/1/2008,5.021790048
7/1/2008,5.6001229
8/1/2008,5.371855115
9/1/2008,4.936927431
10/1/2008,3.655186277
11/1/2008,1.069574692
12/1/2008,0.091412901
1/1/2009,0.029846504
2/1/2009,0.236191088
3/1/2009,-0.383556255
4/1/2009,-0.736885715
5/1/2009,-1.281435799
6/1/2009,-1.426776044
7/1/2009,-2.097161354
8/1/2009,-1.484348612
9/1/2009,-1.286205967
10/1/2009,-0.182848277
11/1/2009,1.838295869
12/1/2009,2.721331126
1/1/2010,2.625708643
2/1/2010,2.143331778
3/1/2010,2.313959447
4/1/2010,2.236447196
5/1/2010,2.020986084
6/1/2010,1.053348973
7/1/2010,1.235192778
8/1/2010,1.148104562
9/1/2010,1.143682658
10/1/2010,1.172187606
11/1/2010,1.143160912
12/1/2010,1.495723527
1/1/2011,1.631846857
2/1/2011,2.107584629
3/1/2011,2.681603264
4/1/2011,3.163630859
5/1/2011,3.568645785
6/1/2011,3.558828252
7/1/2011,3.628715982
8/1/2011,3.771208179
9/1/2011,3.868356841
10/1/2011,3.525199921
11/1/2011,3.394377591
12/1/2011,2.962418845
1/1/2012,2.925216712
2/1/2012,2.87109878
3/1/2012,2.651398193
4/1/2012,2.302739811
5/1/2012,1.704253775
6/1/2012,1.663993762
7/1/2012,1.408450704
8/1/2012,1.692378998
9/1/2012,1.991282081
10/1/2012,2.162343599
11/1/2012,1.764133846
12/1/2012,1.741022369
1/1/2013,1.594864668
2/1/2013,1.97792351
3/1/2013,1.473896213
4/1/2013,1.063085381
5/1/2013,1.361965059
6/1/2013,1.754416545
7/1/2013,1.960681612
8/1/2013,1.51836756
9/1/2013,1.184925262
10/1/2013,0.963612705
11/1/2013,1.237072205
12/1/2013,1.50173562
1/1/2014,1.578947368
2/1/2014,1.12634925
3/1/2014,1.512202876
4/1/2014,1.952857899
5/1/2014,2.12711155
6/1/2014,2.072341373
7/1/2014,1.992328636
8/1/2014,1.699611334
9/1/2014,1.657918676
10/1/2014,1.664340216
11/1/2014,1.322355182
12/1/2014,0.75649327
1/1/2015,-0.089348313
2/1/2015,-0.025129802
3/1/2015,-0.073637391
4/1/2015,-0.199517446
5/1/2015,-0.039932745
6/1/2015,0.123771204
7/1/2015,0.16956978
8/1/2015,0.195079293
9/1/2015,-0.036129748
10/1/2015,0.170574436
11/1/2015,0.501797579
12/1/2015,0.729519786
1/1/2016,1.373086814
2/1/2016,1.01779978
3/1/2016,0.852536221
4/1/2016,1.125110419
5/1/2016,1.019322554
6/1/2016,0.997326495
7/1/2016,0.82713887
8/1/2016,1.062874503
9/1/2016,1.463783647
