Date,NonBorrow
7/1/2018,113.7759
8/1/2018,112.7394
9/1/2018,112.7098
10/1/2018,112.7908
11/1/2018,111.9034
12/1/2018,114.9243
1/1/2019,114.9738
2/1/2019,114.981
3/1/2019,113.985
4/1/2019,115.9704
5/1/2019,115.9443
6/1/2019,116.9204
7/1/2019,117.8799
8/1/2019,116.8831
9/1/2019,116.8985
10/1/2019,117.9372
11/1/2019,116.9739
12/1/2019,117.9786
1/1/2020,117.9942
